id,long,lat,Mode,fid,h3,Commune,CodeCom
node/10080562298,-6.8583155100,34.0042322100,bus,21745,8839a8659dfffff,Hassan,5
node/10080562299,-6.8586065100,34.0034824100,bus,21745,8839a8659dfffff,Agdal Riyad,1
node/10080562300,-6.8627956100,34.0054021100,bus,21745,8839a8659dfffff,Hassan,5
node/10080562301,-6.8629751100,34.0052217100,bus,21755,8839a86583fffff,Yacoub El Mansour,9
node/10080562302,-6.8655249100,34.0035773100,bus,21755,8839a86583fffff,Yacoub El Mansour,9
node/10080562303,-6.8659080100,34.0035307100,bus,21755,8839a86583fffff,Yacoub El Mansour,9
node/10080562304,-6.8672694100,34.0013773100,bus,21755,8839a86583fffff,Yacoub El Mansour,9
node/10080562305,-6.8675927100,34.0014351100,bus,21755,8839a86583fffff,Yacoub El Mansour,9
node/10080562306,-6.8709439100,33.9968261100,bus,21753,8839a86587fffff,Yacoub El Mansour,9
node/10080562307,-6.8719082100,33.9934348100,bus,21753,8839a86587fffff,Yacoub El Mansour,9
node/10080562308,-6.8716761100,33.9934644100,bus,21753,8839a86587fffff,Yacoub El Mansour,9
node/10080562309,-6.8715046100,33.9892989100,bus,21753,8839a86587fffff,Yacoub El Mansour,9
node/10080562310,-6.8712869100,33.9891469100,bus,21753,8839a86587fffff,Yacoub El Mansour,9
node/10080562311,-6.8735956100,33.9865956100,bus,21739,8839a865abfffff,Yacoub El Mansour,9
node/10080562312,-6.8735001100,33.9863581100,bus,21739,8839a865abfffff,Yacoub El Mansour,9
node/10080562313,-6.8771802100,33.9815687100,bus,21739,8839a865abfffff,Yacoub El Mansour,9
node/10080562314,-6.8798472100,33.9782108100,bus,21744,8839a865a1fffff,Yacoub El Mansour,9
node/10080562315,-6.8815799100,33.9757806100,bus,21744,8839a865a1fffff,Yacoub El Mansour,9
node/10080562316,-6.8818170100,33.9760079100,bus,21744,8839a865a1fffff,Yacoub El Mansour,9
node/10080562317,-6.8860993100,33.9762253100,bus,21744,8839a865a1fffff,Yacoub El Mansour,9
node/10080562318,-6.8880146100,33.9769647100,bus,21742,8839a865a5fffff,Yacoub El Mansour,9
node/10080562319,-6.8917873100,33.9755854100,bus,21738,8839a865adfffff,Yacoub El Mansour,9
node/10080562320,-6.8919842100,33.9756592100,bus,21738,8839a865adfffff,Yacoub El Mansour,9
node/10080562321,-6.8934778100,33.9744364100,bus,21406,8839a86ed3fffff,Yacoub El Mansour,9
node/10080562322,-6.8932933100,33.9743174100,bus,21406,8839a86ed3fffff,Yacoub El Mansour,9
node/10080562323,-6.8956605100,33.9723762100,bus,21406,8839a86ed3fffff,Yacoub El Mansour,9
node/10080562324,-6.8959379100,33.9724439100,bus,21406,8839a86ed3fffff,Yacoub El Mansour,9
node/10080562327,-6.9003498100,33.9680114100,bus,21405,8839a86ed7fffff,Yacoub El Mansour,9
node/10080562328,-6.9030797100,33.9655703100,bus,21405,8839a86ed7fffff,Yacoub El Mansour,9
node/10080562329,-6.9058304100,33.9647278100,bus,21405,8839a86ed7fffff,Yacoub El Mansour,9
node/10080805699,-6.8174405100,33.9952950100,bus,5663,8839ab9a0dfffff,El Youssoufia,3
node/10080805700,-6.8153824100,33.9969382100,bus,5663,8839ab9a0dfffff,El Youssoufia,3
node/10080805701,-6.8166591100,33.9982435100,bus,5663,8839ab9a0dfffff,El Youssoufia,3
node/10080805702,-6.8190088100,33.9988122100,bus,5623,8839ab9a6bfffff,El Youssoufia,3
node/10080805703,-6.8409183100,34.0227782100,bus,21766,8839a864a7fffff,Hassan,5
node/10080805704,-6.8428873100,34.0266484100,bus,21769,8839a864a1fffff,Hassan,5
node/10080805705,-6.8440680100,34.0247996100,bus,21767,8839a864a5fffff,Hassan,5
node/10080805706,-6.8467713100,34.0249290100,bus,21767,8839a864a5fffff,Hassan,5
node/10082114859,-6.8855980100,33.9778666100,bus,21744,8839a865a1fffff,Yacoub El Mansour,9
node/10082141124,-6.8826889100,33.9805759100,bus,21744,8839a865a1fffff,Yacoub El Mansour,9
node/10082141191,-6.8786200100,33.9846152100,bus,21739,8839a865abfffff,Yacoub El Mansour,9
node/10082141250,-6.8727658100,33.9910036100,bus,21753,8839a86587fffff,Yacoub El Mansour,9
