id,long,lat,Mode,fid,h3,Commune,CodeCom,CodeProv,Province
node/10077822211,-6.77428711,34.08763761,bus,5977,8839ab9331fffff,Layayda,7,441,Salé
node/10077822212,-6.77411411,34.08778351,bus,5977,8839ab9331fffff,Layayda,7,441,Salé
node/10078039792,-6.78790591,34.03339111,bus,6065,8839ab9167fffff,Bettana,5,441,Salé
node/10078039793,-6.78771991,34.03339321,bus,6065,8839ab9167fffff,Bettana,5,441,Salé
node/10078039794,-6.76456681,34.02556441,bus,6096,8839ab9121fffff,Hssaine,6,441,Salé
node/10078039795,-6.76817411,34.02467691,bus,6096,8839ab9121fffff,Hssaine,6,441,Salé
node/10078039796,-6.77223471,34.02206031,bus,6096,8839ab9121fffff,Hssaine,6,441,Salé
node/10078039797,-6.76966411,34.02089781,bus,6096,8839ab9121fffff,Hssaine,6,441,Salé
node/10078039798,-6.76830981,34.01669591,bus,6093,8839ab9127fffff,Hssaine,6,441,Salé
node/10078039799,-6.76584351,34.01562871,bus,6093,8839ab9127fffff,Hssaine,6,441,Salé
node/10078039800,-6.76427991,34.01736661,bus,6093,8839ab9127fffff,Hssaine,6,441,Salé
node/10078039801,-6.76111751,34.02031721,bus,6095,8839ab9123fffff,Hssaine,6,441,Salé
node/10078039802,-6.75808811,34.02280391,bus,6095,8839ab9123fffff,Hssaine,6,441,Salé
node/10078039803,-6.75626831,34.02455741,bus,6095,8839ab9123fffff,Hssaine,6,441,Salé
node/10078226361,-6.78618571,34.03637991,bus,6065,8839ab9167fffff,Bettana,5,441,Salé
node/10078226362,-6.78642021,34.03648611,bus,6065,8839ab9167fffff,Bettana,5,441,Salé
node/10078226363,-6.78465741,34.04533051,bus,6063,8839ab916bfffff,Bettana,5,441,Salé
node/10078226364,-6.78432021,34.04542331,bus,6063,8839ab916bfffff,Bettana,5,441,Salé
node/10078226365,-6.78143301,34.04705041,bus,6063,8839ab916bfffff,Bettana,5,441,Salé
node/10078226366,-6.78135731,34.04728651,bus,6063,8839ab916bfffff,Tabriquet,9,441,Salé
node/10078226371,-6.77887311,34.04687301,bus,6063,8839ab916bfffff,Bettana,5,441,Salé
node/10078226373,-6.77577961,34.04661501,bus,6104,8839ab910dfffff,Bettana,5,441,Salé
node/10078226375,-6.77404151,34.04789871,bus,6104,8839ab910dfffff,Layayda,7,441,Salé
node/10078226376,-6.77411031,34.04792691,bus,6104,8839ab910dfffff,Tabriquet,9,441,Salé
